LTG_ID,LTG_START,LTG_ZIEL,WIDERSTAND_R_SUM_OHM,REAKTANZ_X_SUM_OHM,NENNSTROM_MIN_A,ERSCHL_STROM_SUM_A,LAENGE_SUM_KM,BAUJAHR_MIN,QUERSCHNITT_MIN_MM2
NN35,ON-000617,ON-003346,2.0309,1.1915,319,27.2394,9.8700,1990,150
NN36,ON-003342,ON-003346,0.6766,0.3971,319,9.0744,3.2880,1992,150
NN37,ON-003346,ON-027009,1.0834,0.5585,285,11.5232,4.4400,1988,120
NN41,SA-017143,SA-001352,6.5103,3.2894,222,74.6038,24.7510,1974,150
NN42,SA-017143,SA-001352,6.9343,3.5423,222,80.0802,26.6840,1963,120
NN4A,SA-001352,ON-003815,0.0020,0.0012,319,0.0276,0.0100,,150
NN4B,SA-001352,ON-003816,0.0020,0.0012,319,0.0276,0.0100,,150
NN51,UW-021135,SA-017143,1.3494,0.7472,285,16.3546,6.0790,1986,120
NN52,UW-021135,SA-017143,1.5844,0.8666,285,18.7951,7.0260,1984,120
NN53,UW-021135,SA-017143,1.7578,1.1913,285,30.4544,10.1440,1987,120
NN54,SA-018199,SA-017143,2.0402,1.0334,285,21.0298,8.1790,1987,120
NN55,UW-021135,SA-017143,0.8443,0.7562,417,22.3047,6.7590,1994,240
NP0A,UW-011339,ON-024186,0.7551,1.1656,609,54.5600,12.4000,2002,500
NP0B,UW-011339,ON-001690,0.7554,1.1660,609,54.5820,12.4050,2002,500
NP0C,UW-011339,ON-001689,0.3918,0.6046,609,28.3052,6.4330,2008,500
NP0D,UW-011339,ON-001686,0.4369,0.6744,609,31.5700,7.1750,2010,500
NP11,SA-024166,SA-021121,0.4732,0.2775,319,6.3553,2.3030,,150
NP12,SA-024166,SA-021121,0.9781,0.5736,319,13.1337,4.7590,,150
NP13,UW-011339,SA-021121,1.6034,0.8856,285,19.3684,7.2070,1987,120
NP14,SA-021121,SA-014340,2.8696,1.6587,285,37.4638,13.6630,1984,120
NP15,SA-021121,SA-014345,4.2143,2.1946,285,45.6777,17.5050,1982,120
NP17,ON-002277,SA-016363,1.0799,0.6143,285,13.7096,5.0350,1985,120
NP21,SA-021790,SA-019280,2.9312,1.6768,285,37.6254,13.7810,1986,120
NP22,SA-007501,SA-021790,0.9113,0.5221,285,11.7445,4.2980,1984,120
NP23,SA-021790,SA-016363,3.2628,1.7890,285,38.8651,14.5130,1983,120
NP24,SA-007501,SA-021790,0.6106,0.3584,319,8.1936,2.9690,1991,150
NP25,SA-021790,SA-007501,2.0112,1.1601,285,26.1953,9.5610,1983,120
NP2A,SA-021790,ON-001536,0.0078,0.0100,535,0.3900,0.1000,,400
NP31,UW-011339,SA-024166,1.4219,0.8342,319,19.0757,6.9120,1991,150
NP32,UW-011339,SA-024166,1.0737,0.6099,285,13.6092,5.0010,1987,120
NP33,UW-011339,SA-007501,0.8645,0.5068,319,11.6042,4.2050,1990,150
NP34,UW-011339,SA-024166,0.5415,0.4852,417,14.3088,4.3360,,240
NP41,UW-011339,SA-021208,0.9303,0.8328,417,24.5784,7.4480,1989,240
NP42,SA-021208,SA-011336,2.1800,1.1000,285,22.2904,8.6890,1982,120
NP43,SA-021208,SA-011336,2.2714,1.3333,319,30.4471,11.0320,1992,150
NP44,UW-011339,SA-021208,1.5032,0.8453,285,18.7458,6.9180,1985,120
NP45,UW-011339,SA-021208,2.1008,1.1246,285,23.9804,9.0590,1983,120
NP4A,SA-021208,ON-024203,0.0020,0.0012,319,0.0276,0.0100,,150
NP52,SA-000015,SA-009627,1.6050,0.9420,319,21.5159,7.7960,1991,150
NP61,SA-011335,SA-007501,0.7096,0.4163,319,9.5157,3.4480,1990,150
NP62,UW-011339,SA-007501,0.8060,0.4728,319,10.8179,3.9200,1989,150
NP65,UW-011339,SA-007501,0.4033,0.3612,417,10.6738,3.2345,1984,240
NP71,UW-011339,SA-011335,1.2336,0.6993,285,15.6101,5.7320,1983,120
NP72,UW-011339,SA-011335,0.4127,0.2422,319,5.5388,2.0070,1990,150
